user_tag	1	2	3	4	5	6	7	8	9	10	11	12
D0468	175.0	44.0	66.0	26.0	52.0	31.0	14.0	11.0	18.0	55.0	47.0	132.0
D0015	40.0	52.0	51.0	30.0	31.0			22.0	23.0	25.0	26.0	23.0
D0475	13.0	13.0	16.0	15.0	10.0	20.0	8.0	16.0	13.0	16.0	11.0	21.0
D0476	46.0	32.0	39.0	18.0	19.0	16.0	24.0	33.0	10.0	25.0	33.0	28.0
D0016	14.0	32.0	36.0	32.0	57.0	31.0	19.0	46.0	21.0	21.0	25.0	27.0
D0477	51.0	49.0	32.0	41.0	61.0	81.0	60.0	74.0	27.0	22.0	68.0	57.0
D0020	69.0	65.0	21.0	44.0	84.0					33.0	134.0	104.0
D0478	25.0	18.0	38.0	18.0	33.0	19.0	26.0	40.0	17.0	28.0	39.0	18.0
D0479	7.0	18.0	10.0	8.0	14.0	31.0	12.0	20.0	7.0	11.0	19.0	19.0
D0480	46.0	32.0	36.0	32.0	29.0	47.0	19.0	25.0	21.0	38.0	37.0	33.0
D0484	67.0	42.0	64.0	35.0	48.0	26.0	32.0	45.0	16.0	100.0	62.0	53.0
D0485	50.0	58.0	90.0	49.0	32.0	27.0	47.0	100.0	37.0	22.0	58.0	33.0
D0491	33.0	17.0	31.0	26.0	63.0	62.0	38.0	36.0	46.0	51.0	18.0	47.0
D0493	59.0	66.0	56.0	60.0	62.0	61.0	58.0	58.0	56.0	46.0	61.0	50.0
D0495	41.0	34.0	41.0	29.0	34.0	21.0	21.0	34.0	14.0		28.0	48.0
D0499	46.0	38.0	46.0	59.0	65.0	35.0	58.0	46.0	19.0	28.0	60.0	44.0
D0501			129.0	70.0	42.0	58.0	74.0	142.0	32.0			
D0025	48.0	30.0	8.0	46.0	51.0	14.0	76.0	13.0	19.0	13.0	14.0	28.0
D0026				13.0	1279.0							
D0505	10.0	6.0	26.0	50.0	54.0	28.0	24.0	47.0	29.0	18.0	20.0	10.0
D0029	40.0	90.0	98.0	57.0	40.0	30.0	47.0	39.0	30.0	33.0	27.0	30.0
D0507	46.0	35.0	54.0	72.0	96.0	55.0	91.0	65.0	29.0	37.0	55.0	58.0
D0031			21.0	9.0	1.0							
D0512	64.0	41.0	35.0	31.0	13.0	15.0	30.0	20.0	35.0	42.0	50.0	39.0
D0041	10.0	35.0	29.0	119.0	60.0	47.0	46.0	38.0	20.0	17.0	27.0	45.0
D0523	4.0	22.0	36.0	19.0	2.0	2.0	29.0	9.0	7.0	14.0	30.0	1.0
D0526							45.0	333.0	90.0			
D0529		17.0	51.0	24.0	49.0	23.0	26.0	33.0	10.0			
D0047	19.0	5.0	13.0	127.0	45.0	57.0	51.0	43.0	35.0	23.0	23.0	17.0
