user_tag	1	2	3	4	5	6	7	8	9	10	11	12
D0015	214.0	208.0	244.0	163.0	123.0			96.0	142.0	176.0	143.0	122.0
D0475	114.0	160.0	195.0	184.0	178.0	190.0	138.0	156.0	135.0	195.0	150.0	160.0
D0476	263.0	229.0	232.0	110.0	122.0	114.0	146.0	171.0	106.0	167.0	262.0	204.0
D0016	106.0	187.0	182.0	186.0	230.0	187.0	176.0	236.0	148.0	120.0	137.0	143.0
D0477	183.0	194.0	145.0	167.0	264.0	337.0	221.0	240.0	116.0	103.0	191.0	204.0
D0020	192.0	244.0	69.0	119.0	244.0					161.0	438.0	393.0
D0478	126.0	104.0	153.0	103.0	123.0	99.0	110.0	163.0	90.0	126.0	156.0	94.0
D0479	68.0	112.0	71.0	65.0	93.0	131.0	78.0	135.0	67.0	66.0	87.0	96.0
D0480	253.0	179.0	195.0	164.0	144.0	183.0	127.0	132.0	97.0	193.0	166.0	205.0
D0484	211.0	138.0	161.0	118.0	146.0	96.0	99.0	149.0	64.0	292.0	242.0	172.0
D0485	301.0	262.0	424.0	257.0	232.0	122.0	223.0	449.0	171.0	83.0	270.0	198.0
D0491	161.0	98.0	190.0	171.0	276.0	295.0	218.0	248.0	186.0	241.0	110.0	139.0
D0493	237.0	198.0	232.0	251.0	246.0	256.0	222.0	203.0	201.0	198.0	258.0	211.0
D0495	252.0	173.0	197.0	164.0	203.0	164.0	114.0	148.0	56.0		177.0	276.0
D0499	218.0	202.0	224.0	242.0	220.0	189.0	178.0	151.0	68.0	166.0	447.0	200.0
D0501			569.0	266.0	164.0	224.0	306.0	657.0	153.0			
D0025	148.0	75.0	17.0	151.0	187.0	48.0	212.0	57.0	68.0	43.0	31.0	92.0
D0026				22.0	2997.0							
D0505	61.0	30.0	193.0	209.0	270.0	174.0	138.0	217.0	162.0	153.0	98.0	64.0
D0029	134.0	345.0	354.0	247.0	177.0	132.0	179.0	205.0	126.0	141.0	139.0	125.0
D0507	210.0	175.0	196.0	263.0	495.0	240.0	352.0	268.0	141.0	197.0	264.0	211.0
D0031			89.0	50.0	9.0							
D0512	414.0	268.0	217.0	177.0	114.0	131.0	179.0	108.0	183.0	300.0	289.0	296.0
D0041	88.0	108.0	87.0	577.0	380.0	202.0	207.0	223.0	119.0	85.0	122.0	160.0
D0523	15.0	112.0	192.0	82.0	20.0	7.0	151.0	47.0	27.0	62.0	168.0	4.0
D0526							198.0	1473.0	360.0			
D0529		111.0	261.0	141.0	169.0	159.0	160.0	140.0	52.0			
D0047	73.0	37.0	84.0	640.0	260.0	303.0	247.0	228.0	193.0	122.0	90.0	100.0
D0538						84.0	128.0	169.0	49.0			
D0539	184.0	187.0	127.0	129.0	158.0	145.0	154.0	149.0	146.0	123.0	149.0	148.0
D0052	1.0	2.0	7.0	9.0	4.0	7.0	6.0	4.0		3.0	5.0	1.0
D0053	265.0	281.0	359.0	418.0	266.0			257.0	262.0	187.0	184.0	172.0
D0549		12.0	385.0	217.0	298.0	100.0	95.0	9.0	19.0			133.0
D0551	259.0	190.0	193.0	73.0	101.0	140.0	133.0	196.0	267.0	302.0	141.0	175.0
D0552	26.0	29.0	9.0	24.0	19.0	103.0	75.0	13.0	40.0	22.0	5.0	38.0
D0553	36.0	1.0	17.0	189.0	359.0	340.0	321.0	302.0	194.0	568.0	145.0	33.0
D0555	163.0	115.0	109.0	107.0	208.0	126.0	106.0	222.0	119.0	86.0	59.0	96.0
D0556	120.0	189.0	175.0	159.0	371.0	310.0	278.0	215.0	214.0	174.0	116.0	136.0
D0054	85.0	30.0	65.0	134.0	258.0	228.0	164.0	151.0	115.0	113.0	99.0	52.0
D0557	220.0	152.0	204.0	236.0	186.0	171.0	157.0	185.0	99.0	195.0	298.0	195.0
D0055		415.0	847.0	774.0	424.0							
D0056	301.0	247.0	201.0	124.0	187.0	214.0	167.0	221.0	227.0	213.0	185.0	291.0
D0560	102.0	123.0	197.0	185.0	147.0	242.0	193.0	243.0	323.0	172.0	251.0	89.0
D0057			475.0	564.0	551.0							
D0561	237.0	140.0	158.0	162.0	158.0	335.0	311.0	282.0	190.0	142.0	143.0	192.0
D0563	125.0	89.0	82.0	72.0	131.0	54.0	298.0	209.0	314.0	194.0	68.0	82.0
D0565	335.0	279.0	83.0	193.0	177.0	141.0	134.0	51.0	63.0	76.0	109.0	307.0
D0060	133.0	96.0	184.0	113.0	94.0	117.0	63.0	66.0	130.0	154.0	161.0	90.0
D0568			204.0	596.0	435.0	397.0	339.0	449.0	126.0			
D0569	27.0	90.0	140.0	37.0	48.0	42.0	90.0	73.0	31.0			65.0
D0063	202.0	75.0	118.0	14.0	57.0	30.0	85.0	61.0	79.0	214.0	85.0	164.0
D0575	194.0	81.0	336.0	355.0	252.0	361.0	224.0	281.0	203.0	151.0	163.0	140.0
D0064	261.0	223.0	319.0	308.0	200.0			139.0	255.0	188.0	322.0	279.0
D0065	57.0	67.0	20.0	31.0	18.0	2.0	16.0	56.0	31.0	62.0	60.0	53.0
D0583	372.0	120.0	74.0	10.0	13.0		23.0	65.0	103.0	188.0	62.0	185.0
D0586	276.0	124.0	48.0	89.0	223.0	557.0	385.0	391.0	114.0	57.0	141.0	120.0
D0588						279.0	399.0	440.0	166.0			
D0072	300.0	313.0	121.0	200.0	141.0	68.0	138.0	85.0	205.0	160.0	346.0	185.0
D0589	299.0	302.0	151.0	87.0	159.0	196.0	202.0	171.0	99.0		130.0	384.0
D0073	322.0	253.0	266.0	262.0	247.0							54.0
D0590	40.0	40.0	66.0	70.0	121.0	252.0	220.0	298.0	203.0	148.0	121.0	106.0
D0591	152.0	187.0	190.0	171.0	158.0	186.0	280.0	348.0	248.0	202.0	280.0	267.0
D0074	177.0	133.0	166.0	241.0	421.0	308.0	330.0	297.0	226.0	237.0	190.0	206.0
D0592	2.0	274.0	19.0	8.0	5.0	29.0		7.0				1.0
D0076	108.0	93.0	230.0	297.0	279.0	136.0	230.0	165.0	157.0	171.0	113.0	141.0
D0599	199.0	296.0	98.0	88.0	116.0	117.0	224.0	84.0	66.0	129.0	194.0	242.0
D0600	115.0	79.0	92.0	89.0	172.0	198.0	127.0	67.0	30.0			30.0
D0601	242.0	179.0	338.0	261.0	440.0	376.0	234.0	231.0	84.0	29.0	40.0	89.0
D0607	141.0	170.0	82.0	59.0	55.0	163.0	65.0	148.0	112.0	98.0	129.0	43.0
D0611	50.0	22.0	26.0	60.0	32.0	194.0	204.0	269.0	121.0	121.0	25.0	26.0
D0615	157.0	79.0	115.0	139.0	80.0	83.0	73.0	160.0	109.0	127.0	138.0	70.0
D0618	1448.0	1527.0	54.0									76.0
D0096	190.0	171.0	333.0	254.0	247.0	154.0	146.0	233.0	188.0	217.0	170.0	145.0
D0629	94.0	90.0	108.0	83.0	96.0	136.0	181.0	194.0	111.0	55.0	72.0	99.0
D0633						318.0	718.0	520.0	124.0			
D0635	72.0	75.0	60.0	52.0	62.0	98.0	48.0	90.0	27.0	34.0	30.0	74.0
D0636	127.0	149.0	162.0	160.0	138.0	134.0	155.0	127.0	122.0	72.0	67.0	68.0
D0637	41.0	5.0	24.0	102.0	82.0	92.0	72.0	182.0	125.0	54.0	146.0	136.0
D0638	51.0	28.0	55.0	34.0	28.0	154.0	235.0	316.0	202.0	189.0	74.0	90.0
D0644	188.0	189.0	159.0	184.0	326.0	291.0	206.0	166.0	117.0	99.0	94.0	117.0
D0645	63.0	40.0	69.0	101.0	115.0	108.0	115.0	60.0	104.0	49.0	57.0	49.0
D0647	228.0	228.0	219.0	190.0	139.0	160.0	138.0	146.0	142.0	118.0	119.0	171.0
D0649							355.0	584.0	147.0			
D0651	159.0	232.0	237.0	262.0	235.0	225.0	220.0	278.0	198.0	167.0	121.0	74.0
D0655	29.0	130.0	86.0	112.0	76.0	110.0	91.0	91.0	17.0			
D0105	97.0	98.0	154.0	151.0	163.0	37.0	246.0	376.0	117.0	130.0	149.0	84.0
D0109		3.0	290.0	428.0	250.0	592.0	364.0	494.0	249.0			
D0112	176.0	148.0	264.0	266.0	379.0	104.0	197.0	307.0	170.0	172.0	182.0	218.0
D0113	284.0	259.0	188.0	89.0	132.0	71.0	158.0	282.0	152.0	108.0	164.0	261.0
D0116			12.0	5.0	8.0		1.0	1.0				
D0665	50.0	18.0	50.0	113.0	213.0	184.0	388.0	538.0	195.0	35.0	38.0	110.0
D0117	287.0	386.0	670.0	368.0	540.0	868.0	546.0	672.0	334.0			
D0669	180.0	110.0	152.0	133.0	185.0	181.0	188.0	203.0	56.0		1.0	213.0
D0679	401.0	202.0	126.0	159.0	241.0	213.0	149.0	214.0	255.0	260.0	284.0	437.0
