	gender	gender	age	age	age	age	org	org
	male	female	<=18	19-29	30-39	>=40	non-org	is-org
user_id								
D0561	0.1133	0.8867	0.0426	0.9562	0.0009	0.0003	1.0	0.0
D1184	0.0044	0.9956	0.0119	0.8393	0.1445	0.0042	0.9999	0.0001
D1195	0.0068	0.9932	0.525	0.3841	0.0729	0.018000000000000002	1.0	0.0
D0553	0.9990000000000001	0.001	0.0094	0.083	0.0431	0.8645	0.9998	0.0002
D1018	0.9331	0.0669	0.0154	0.2236	0.7466	0.0144	0.9999	0.0001
D0436	0.9793	0.0207	0.1655	0.6725	0.1486	0.0134	1.0	0.0
D1091	0.9974	0.0026	0.0012	0.0135	0.0144	0.9709	0.9993	0.0007
D0709	0.0694	0.9306	0.5167	0.4156	0.0333	0.0343	0.9998	0.0002
D0905	0.0023	0.9977	0.0013	0.0699	0.6729	0.2559	0.9999	0.0001
D0623	0.0561	0.9439	0.5089	0.397	0.0513	0.0427	1.0	0.0
D0542	0.0292	0.9708	0.4013	0.5856	0.0103	0.0028	0.9999	0.0001
D0952	0.0406	0.9594	0.2988	0.6762	0.0147	0.0103	0.997	0.003
D0694	0.9098	0.0902	0.1728	0.7334	0.0403	0.0535	1.0	0.0
D1176	0.0019	0.9981	0.0873	0.6814	0.187	0.0443	0.9997	0.0003
D0842	0.0337	0.9663	0.1068	0.8711	0.0068	0.0153	1.0	0.0
D0480	0.1188	0.8812	0.0518	0.9476	0.0003	0.0003	1.0	0.0
D1070	0.0858	0.9142	0.2731	0.7145	0.008	0.0045	0.9999	0.0001
D1072	0.0003	0.9997	0.0	0.0001	0.0108	0.9891	0.9996	0.0004
D1121	0.0007	0.9993	0.1892	0.3198	0.413	0.0781	0.9997	0.0003
D0704	0.0028	0.9972	0.0073	0.1177	0.3055	0.5694	1.0	0.0
D1021	0.0102	0.9898	0.0006	0.0241	0.9678	0.0076	0.9998	0.0002
D0647	0.9984	0.0016	0.0642	0.5072	0.3611	0.0675	1.0	0.0
D1136	0.001	0.9990000000000001	0.5516	0.4145	0.0119	0.022000000000000002	1.0	0.0
D0538	0.0819	0.9181	0.1889	0.7751	0.028999999999999998	0.006999999999999999	1.0	0.0
