num_runs	$D$	$R$
623	1512657	6704677
624	1544005	6906666
625	1522867	6670927
626	1493642	6808140
627	1483193	6727635
628	1526091	6750667
629	1504665	6731639
630	1516592	6745511
631	1503152	6784735
632	1533009	6733099
633	1509936	6958097
634	1520645	6860082
635	1532671	6700023
636	1487317	6742081
637	1527791	6852802
638	1499877	6733035
639	1471408	6611315
640	1525900	6660546
641	1519847	6781007
642	1546081	6752879
643	1555696	6742495
644	1521429	6677256
645	1494080	6762660
646	1501373	6813654
647	1517596	6758334
648	1496106	6789499
649	1462228	6827997
650	1490792	6778454
651	1478097	6809247
652	1488383	6658020
653	1497261	6681453
654	1548535	6962163
655	1503963	6802818
656	1535351	6794725
657	1507768	6746089
658	1505595	6774729
659	1499411	6717687
660	1548809	6854358
661	1463166	6910451
662	1480817	6839134
663	1520266	6852077
664	1510402	6916418
665	1447393	6712332
666	1558796	6745053
667	1502216	6903310
668	1489019	6790464
669	1494323	6744746
670	1506369	6730784
671	1491953	6699590
672	1553503	6753387
673	1497275	6785795
674	1493715	6735350
675	1498812	6754506
676	1485559	6838283
677	1466632	6836081
678	1479265	6697950
679	1517987	6808708
680	1483225	6734133
681	1510082	6772185
682	1476086	6736939
683	1492896	6784854
684	1492362	6867657
685	1541412	6817588
686	1491216	6825580
687	1488576	6813764
688	1503746	6721161
689	1517651	6846015
690	1523134	6823457
691	1612828	6811554
692	1529892	6725433
693	1448757	6796525
694	1523968	6724879
695	1535335	6731019
696	1558297	6794790
697	1510112	6731208
698	1495494	6906121
699	1512325	6889009
700	1516807	6753615
701	1478483	6827858
702	1547840	6836732
703	1526823	6695438
704	1477991	6829791
705	1540857	6649919
706	1560285	6659029
707	1509573	6817560
708	1494165	6772600
709	1467685	6935498
710	1498874	6884784
711	1521718	6780482
712	1475666	6740689
713	1516755	6660146
714	1538828	6856531
715	1501085	6831827
716	1509067	6731495
717	1504840	6819628
718	1486389	6681195
719	1510520	6790432
720	1467311	6866030
721	1560881	6797150
722	1498049	6807653
723	1508646	6815787
724	1554502	6771348
725	1524044	6722536
726	1493190	6854176
727	1514933	6887094
728	1513581	6781249
729	1492056	6739338
730	1525904	6746085
731	1508925	6787947
732	1528104	6820772
733	1511655	6740150
734	1505955	6763514
735	1519167	6648509
736	1490761	6807336
737	1484847	6817582
738	1440724	6773849
739	1529796	6702544
740	1489963	6778995
741	1556053	6761877
742	1490802	6833032
743	1530141	6688809
744	1531473	6892620
745	1538382	6765123
746	1496821	6664871
747	1481817	6806615
748	1531787	6865571
